-0.65169,2.7344
2.4237,1.468
-0.69513,1.923
0.35991,0.48839
1.3615,1.6488
3.6075,1.7056
-0.14508,0.91656
2.2214,1.7678
1.5335,1.9847
-1.1951,0.6665
1.2697,2.0287
0.89328,1.0306
1.4374,1.213
0.37363,2.4084
1.8335,1.4927
0.17702,1.268
2.6527,1.6197
-0.28941,2.3259
3.2142,2.612
1.4702,1.6594
1.772,2.1313
0.31811,2.4649
2.1681,2.0124
1.1122,0.78477
1.0752,1.1461
1.0488,1.8637
-1.5506,2.2077
0.74548,2.1643
1.5403,2.261
2.5923,2.3609
0.35083,2.2915
2.6766,2.1902
-2.4949,-0.28496
-1.8291,0.5316
-2.6875,-0.27457
-0.94231,0.51043
-0.76989,0.72195
1.294,1.1427
-1.6035,1.9848
-0.097367,0.57614
-0.62479,0.94061
-4.0187,-0.11291
-2.0223,1.2486
-1.6745,1.2144
-0.75739,-0.33064
-0.1431,-1.4975
-0.86071,1.6217
-0.2443,0.98478
-0.062204,-0.35678
-0.65886,0.022458
-1.3998,-0.68997
-0.94346,-1.4227
-0.68364,1.6383
-2.7299,0.54556
-0.4607,1.6701
-1.0225,-0.84287
-2.2528,-0.071335
-0.018464,1.956
-2.0441,-0.77318
-0.0065291,0.31718
-1.9246,0.59499
-2.3508,-0.39783
0.32982,-0.91782
-1.3224,-1.283
1.0336,-1.8226
2.2063,-1.5788
2.2484,-1.4003
1.3019,-0.89899
1.9058,-5.3116
1.8538,-2.1359
2.102,0.40279
2.5857,-2.6189
1.6336,-2.3558
0.89986,-3.1444
1.5092,-4.0123
2.9462,-6.228
2.5516,-2.5551
2.0916,-0.54345
1.4212,-3.1583
3.172,-0.41729
2.996,-3.4262
2.3932,-1.1531
2.4874,-1.2632
1.8545,-1.0582
1.3915,-2.8138
2.2404,-1.7816
2.4803,-4.802
1.905,0.0095236
2.5475,-3.5339
2.1652,-0.35054
2.2223,0.57674
2.2665,-1.4184
1.8395,-0.57579
2.1084,-2.2294
2.0263,-3.6722
1.4965,-1.8903
